# This is a continuation of trace file D:\1c\Workapaces\diplom\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2025-09-28 12:51:16.822
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.834 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonModules/ВариантыОтчетовСлужебныйКлиент/ВариантыОтчетовСлужебныйКлиент.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.835 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/МетаданныеHTTPСервисы/Picture.png |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.835 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ОтменитьДействие/ОтменитьДействие.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.836 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/StyleItems/РазрешенноеПравоДоступаЦвет/РазрешенноеПравоДоступаЦвет.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.837 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonModules/НастройкаРазрешенийНаИспользованиеВнешнихРесурсовКлиент/НастройкаРазрешенийНаИспользованиеВнешнихРесурсовКлиент.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.837 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/EventSubscriptions/ЗапретитьИспользованиеУдаляемыхОбъектовВОбъектах/ЗапретитьИспользованиеУдаляемыхОбъектовВОбъектах.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.838 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/Documents/ЗаказПокупателя/ЗаказПокупателя.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.838 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/ScheduledJobs/ЭкспортОценкиПроизводительности/ЭкспортОценкиПроизводительности.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.839 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/InformationRegisters/ФайлыВРабочемКаталоге/ФайлыВРабочемКаталоге.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.840 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/FunctionalOptions/РаботаВЛокальномРежиме/РаботаВЛокальномРежиме.mdo |
