# This is a continuation of trace file D:\1c\Workapaces\MyDiplomTest\.metadata\trace.log.bak_6
# version: 1.1
# verbose: true
# Time of creation: 2025-10-02 22:14:37.866
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.294 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/CommonForms/СозданиеНачальногоОбразаСФайлами/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonFormImpl@71a63efc, objects to update in infobase=[bm://Diplomempty/CommonForm.СозданиеНачальногоОбразаСФайлами#/] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.302 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/CommonForms/СозданиеНачальногоОбразаСФайлами/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/CommonForm.СозданиеНачальногоОбразаСФайлами#/] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.305 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/InformationRegisters/ВерсииПодсистем/Forms/ФормаСписка/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.309 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/InformationRegisters/ВерсииПодсистем/Forms/ФормаСписка/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.InformationRegisterFormImpl@31a16841, objects to update in infobase=[bm://Diplomempty/InformationRegister.ВерсииПодсистем#/forms:ФормаСписка] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.312 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/InformationRegisters/ВерсииПодсистем/Forms/ФормаСписка/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/InformationRegister.ВерсииПодсистем#/forms:ФормаСписка] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.314 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/ChartsOfCharacteristicTypes/ДополнительныеРеквизитыИСведения/Forms/ФормаСписка/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.316 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/ChartsOfCharacteristicTypes/ДополнительныеРеквизитыИСведения/Forms/ФормаСписка/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.ChartOfCharacteristicTypesFormImpl@57729dc5, objects to update in infobase=[bm://Diplomempty/ChartOfCharacteristicTypes.ДополнительныеРеквизитыИСведения#/forms:ФормаСписка] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.318 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/ChartsOfCharacteristicTypes/ДополнительныеРеквизитыИСведения/Forms/ФормаСписка/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/ChartOfCharacteristicTypes.ДополнительныеРеквизитыИСведения#/forms:ФормаСписка] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.320 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/InformationRegisters/ВерсииПодсистем/Forms/ФормаЗаписи/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.323 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/InformationRegisters/ВерсииПодсистем/Forms/ФормаЗаписи/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.InformationRegisterFormImpl@d73efc9a, objects to update in infobase=[bm://Diplomempty/InformationRegister.ВерсииПодсистем#/forms:ФормаЗаписи] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.324 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/InformationRegisters/ВерсииПодсистем/Forms/ФормаЗаписи/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/InformationRegister.ВерсииПодсистем#/forms:ФормаЗаписи] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.329 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/SettingsStorages/ХранилищеВариантовОтчетов/Forms/ФильтроватьПоПолю/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.334 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/SettingsStorages/ХранилищеВариантовОтчетов/Forms/ФильтроватьПоПолю/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.SettingsStorageFormImpl@a9fca8f2, objects to update in infobase=[bm://Diplomempty/SettingsStorage.ХранилищеВариантовОтчетов#/forms:ФильтроватьПоПолю] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.336 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/SettingsStorages/ХранилищеВариантовОтчетов/Forms/ФильтроватьПоПолю/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/SettingsStorage.ХранилищеВариантовОтчетов#/forms:ФильтроватьПоПолю] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.337 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/SettingsStorages/ХранилищеВариантовОтчетов/Forms/СохранениеВариантаОтчета/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.338 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/SettingsStorages/ХранилищеВариантовОтчетов/Forms/СохранениеВариантаОтчета/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.SettingsStorageFormImpl@428eeb19, objects to update in infobase=[bm://Diplomempty/SettingsStorage.ХранилищеВариантовОтчетов#/forms:СохранениеВариантаОтчета] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.340 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/SettingsStorages/ХранилищеВариантовОтчетов/Forms/СохранениеВариантаОтчета/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/SettingsStorage.ХранилищеВариантовОтчетов#/forms:СохранениеВариантаОтчета] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.341 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/Reports/АнализЖурналаРегистрации/Forms/СведенияОРегламентномЗадании/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.343 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/Reports/АнализЖурналаРегистрации/Forms/СведенияОРегламентномЗадании/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.ReportFormImpl@ad8331d5, objects to update in infobase=[bm://Diplomempty/Report.АнализЖурналаРегистрации#/forms:СведенияОРегламентномЗадании] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.344 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/Reports/АнализЖурналаРегистрации/Forms/СведенияОРегламентномЗадании/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/Report.АнализЖурналаРегистрации#/forms:СведенияОРегламентномЗадании] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.345 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/Documents/ВКМ_ГрафикОтпусков/Forms/АнализГрафика/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.347 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/Documents/ВКМ_ГрафикОтпусков/Forms/АнализГрафика/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DocumentFormImpl@84c8dd1f, objects to update in infobase=[bm://Diplomempty/Document.ВКМ_ГрафикОтпусков#/forms:АнализГрафика] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.347 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/Documents/ВКМ_ГрафикОтпусков/Forms/АнализГрафика/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/Document.ВКМ_ГрафикОтпусков#/forms:АнализГрафика] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.349 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/DataProcessors/РаботаСФайлами/Forms/ФормаИмпортаФайлов/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.350 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/DataProcessors/РаботаСФайлами/Forms/ФормаИмпортаФайлов/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@839f76d, objects to update in infobase=[bm://Diplomempty/DataProcessor.РаботаСФайлами#/forms:ФормаИмпортаФайлов] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.351 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/DataProcessors/РаботаСФайлами/Forms/ФормаИмпортаФайлов/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/DataProcessor.РаботаСФайлами#/forms:ФормаИмпортаФайлов] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.352 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/DataProcessors/ПодключениеОбсуждений/Forms/СозданиеБотаВКонтакте/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.353 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/DataProcessors/ПодключениеОбсуждений/Forms/СозданиеБотаВКонтакте/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@565f74c7, objects to update in infobase=[bm://Diplomempty/DataProcessor.ПодключениеОбсуждений#/forms:СозданиеБотаВКонтакте] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.354 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/DataProcessors/ПодключениеОбсуждений/Forms/СозданиеБотаВКонтакте/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/DataProcessor.ПодключениеОбсуждений#/forms:СозданиеБотаВКонтакте] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.355 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/InformationRegisters/СнимкиОтчетов/Forms/ФормаПросмотраОтчетов/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.357 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/InformationRegisters/СнимкиОтчетов/Forms/ФормаПросмотраОтчетов/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.InformationRegisterFormImpl@a2bd5142, objects to update in infobase=[bm://Diplomempty/InformationRegister.СнимкиОтчетов#/forms:ФормаПросмотраОтчетов] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.358 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/InformationRegisters/СнимкиОтчетов/Forms/ФормаПросмотраОтчетов/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/InformationRegister.СнимкиОтчетов#/forms:ФормаПросмотраОтчетов] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.360 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/CommonForms/Расширения/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.362 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/CommonForms/Расширения/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonFormImpl@1994a0bf, objects to update in infobase=[bm://Diplomempty/CommonForm.Расширения#/] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.363 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/CommonForms/Расширения/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/CommonForm.Расширения#/] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.364 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/DataProcessors/УправлениеИтогамиИАгрегатами/Forms/ФормаВыбораПериода/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.365 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/DataProcessors/УправлениеИтогамиИАгрегатами/Forms/ФормаВыбораПериода/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@ef778e7e, objects to update in infobase=[bm://Diplomempty/DataProcessor.УправлениеИтогамиИАгрегатами#/forms:ФормаВыбораПериода] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.366 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/DataProcessors/УправлениеИтогамиИАгрегатами/Forms/ФормаВыбораПериода/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/DataProcessor.УправлениеИтогамиИАгрегатами#/forms:ФормаВыбораПериода] |
